ra,dec,star_flag,near_star,use_phot,z_spec,z_peak,field
188.91560364,62.19630432,2,0,1,,3.3258,GOODS-N
188.91630554,62.19572067,2,0,0,,5.6919,GOODS-N
188.91644287,62.19558334,1,0,0,,,GOODS-N
188.91810608,62.19394302,2,0,1,,1.4956,GOODS-N
188.91825867,62.1952095,0,0,1,,0.9093,GOODS-N
188.91983032,62.19706726,0,0,1,,2.7814,GOODS-N
188.91995239,62.20010757,2,0,1,,1.7427,GOODS-N
188.92066956,62.19338989,0,0,1,,0.8413,GOODS-N
188.92074585,62.19803238,0,0,1,,0.859,GOODS-N
188.92098999,62.19649124,2,0,1,,1.3096,GOODS-N
188.92146301,62.20027924,0,0,1,,0.5019,GOODS-N
188.92156982,62.19347382,0,0,1,,0.4993,GOODS-N
188.92167664,62.20124817,0,0,0,,,GOODS-N
188.92169189,62.19937134,2,0,1,,1.2892,GOODS-N
188.92199707,62.19914246,0,0,1,,1.553,GOODS-N
188.92201233,62.19620132,0,0,1,,2.2188,GOODS-N
188.92204285,62.20121765,0,0,0,,1.1641,GOODS-N
188.92210388,62.19124222,2,0,1,,1.6385,GOODS-N
188.9221344,62.19358444,0,0,1,,1.5555,GOODS-N
188.92228699,62.19290161,0,0,1,,0.0336,GOODS-N
188.92247009,62.19099045,2,0,1,,1.6952,GOODS-N
188.92259216,62.20022583,2,0,1,,2.932,GOODS-N
188.92303467,62.20014572,0,0,1,,1.1217,GOODS-N
188.92332458,62.19754028,0,0,1,,1.6123,GOODS-N
188.92337036,62.19822693,2,0,1,,0.7597,GOODS-N
188.92391968,62.1925087,1,0,0,,0.3302,GOODS-N
188.92446899,62.19919586,0,0,1,,2.547,GOODS-N
188.92454529,62.20021057,0,0,1,,1.086,GOODS-N
188.92457581,62.19680786,2,0,1,,0.4617,GOODS-N
188.92474365,62.19472885,2,0,1,,1.8377,GOODS-N
188.92474365,62.20068741,0,0,1,,0.9194,GOODS-N
188.92510986,62.18985748,0,0,1,,3.2093,GOODS-N
188.92530823,62.18969345,0,0,1,,1.3811,GOODS-N
188.92533875,62.20286942,0,0,0,,1.6036,GOODS-N
188.92541504,62.20106888,0,0,1,,0.9139,GOODS-N
188.92546082,62.19723511,0,0,1,,1.1597,GOODS-N
188.92599487,62.19490433,0,0,1,,1.6821,GOODS-N
188.92645264,62.19479752,0,0,1,,0.9099,GOODS-N
188.92658997,62.19691086,2,0,1,,1.1616,GOODS-N
188.926651,62.18895721,0,0,1,,0.8067,GOODS-N
188.92704773,62.1971283,0,0,1,,1.1164,GOODS-N
188.92713928,62.19908524,0,0,1,,1.7003,GOODS-N
188.9271698,62.18863678,0,0,1,,2.2414,GOODS-N
188.9276123,62.20243835,0,0,1,,5.7876,GOODS-N
188.92762756,62.20024872,2,0,1,,1.875,GOODS-N
188.92814636,62.19924545,2,0,1,,1.0146,GOODS-N
188.92868042,62.19446182,2,0,1,,0.8366,GOODS-N
188.9287262,62.18907547,0,0,1,,1.5561,GOODS-N
188.92880249,62.19564819,0,0,1,,2.4189,GOODS-N
188.92887878,62.19792557,0,0,1,,3.0745,GOODS-N
188.92907715,62.19387054,0,0,1,,1.8619,GOODS-N
188.92921448,62.18909836,0,0,1,,1.1888,GOODS-N
188.92932129,62.19530106,2,0,1,,1.8713,GOODS-N
188.92967224,62.19887161,0,0,1,,0.8177,GOODS-N
188.92996216,62.18827057,0,0,1,,0.3397,GOODS-N
188.92997742,62.20089722,2,0,1,,0.8088,GOODS-N
188.93028259,62.19233322,0,0,1,,0.5691,GOODS-N
188.93057251,62.19255066,0,0,1,,0.5616,GOODS-N
188.9306488,62.18841171,0,0,1,,0.2404,GOODS-N
188.93115234,62.20428848,0,0,1,,0.4096,GOODS-N
188.93162537,62.19406128,2,0,1,,2.7147,GOODS-N
188.93162537,62.20335388,0,0,1,,1.4972,GOODS-N
188.93174744,62.19278717,2,0,0,,1.5843,GOODS-N
188.93208313,62.18738937,2,0,1,,0.5978,GOODS-N
188.93209839,62.20393753,0,0,1,,0.7511,GOODS-N
188.93232727,62.2052536,0,0,1,,2.2767,GOODS-N
188.93249512,62.19166946,2,0,1,,2.0616,GOODS-N
188.93258667,62.18902969,2,0,1,,3.3018,GOODS-N
188.93269348,62.19259644,2,0,1,,0.6745,GOODS-N
188.93286133,62.19421005,2,0,1,,2.1146,GOODS-N
188.9329071,62.18936157,2,0,1,,0.5879,GOODS-N
188.93313599,62.19726944,2,0,1,,0.8503,GOODS-N
188.93336487,62.19942856,0,0,1,,1.3672,GOODS-N
188.93338013,62.19927597,0,0,1,,1.1803,GOODS-N
188.93363953,62.19844055,2,0,0,,1.7037,GOODS-N
188.9336853,62.18949127,0,0,1,,1.7873,GOODS-N
188.93417358,62.19832993,2,0,1,,1.6016,GOODS-N
188.93431091,62.19367218,0,0,1,,1.9597,GOODS-N
188.93435669,62.19319153,2,0,1,,0.5512,GOODS-N
188.93444824,62.19225311,2,0,0,,0.5696,GOODS-N
188.93452454,62.20675278,0,0,1,,1.2006,GOODS-N
188.93457031,62.19829178,2,0,1,,2.2561,GOODS-N
188.93458557,62.19757462,0,0,1,,1.0414,GOODS-N
188.93466187,62.19048309,0,0,1,,0.6724,GOODS-N
188.93493652,62.20127487,0,0,1,,1.5752,GOODS-N
188.93499756,62.2048378,2,0,1,,1.5693,GOODS-N
188.9352417,62.2074852,2,0,1,,2.0148,GOODS-N
188.93533325,62.19153976,0,0,1,,0.7898,GOODS-N
188.93571472,62.20033646,2,0,1,,3.5361,GOODS-N
188.93582153,62.20088196,2,0,1,,2.9113,GOODS-N
188.9359436,62.19572067,2,0,1,,1.8271,GOODS-N
188.93598938,62.20752335,2,0,1,,0.0896,GOODS-N
