ra,dec,z_spec,source_name
189.275,62.025,0.52,[ABB2003] CDFN 338
189.358,62.042,0.6,[ABB2003] CDFN 421
189.188,62.052,2.46,[ABB2003] CDFN 233
189.317,62.056,2.07,[ABB2003] CDFN 385
189.204,62.057,0.97,[ABB2003] CDFN 254
189.244,62.067,2.75,[ABB2003] CDFN 301
189.116,62.071,0.57,[ABB2003] CDFN 153
189.228,62.074,0.29,[ABB2003] CDFN 285
189.333,62.076,0.91,[ABB2003] CDFN 399
189.36,62.076,2.23,[ABB2003] CDFN 422
189.204,62.077,0.11,[ABB2003] CDFN 255
189.237,62.083,0.84,[ABB2003] CDFN 293
189.31,62.085,0.44,[ABB2003] CDFN 379
189.265,62.086,0.86,[ABB2003] CDFN 325
189.287,62.089,0.96,[ABB2003] CDFN 356
189.125,62.095,0.48,[ABB2003] CDFN 163
189.321,62.098,1.94,[ABB2003] CDFN 393
189.07,62.104,1.14,[ABB2003] CDFN 110
189.121,62.104,1.26,[ABB2003] CDFN 157
189.32,62.106,0.97,[ABB2003] CDFN 391
189.256,62.108,0.56,[ABB2003] CDFN 315
189.329,62.114,2.73,[ABB2003] CDFN 396
189.317,62.119,0.68,[ABB2003] CDFN 386
189.06,62.122,0.97,[ABB2003] CDFN 103
189.469,62.122,0.97,[ABB2003] CDFN 472
189.287,62.123,1.03,[ABB2003] CDFN 355
189.207,62.127,1.61,[ABB2003] CDFN 259
189.522,62.128,0.96,[ABB2003] CDFN 487
189.226,62.129,0.2,[ABB2003] CDFN 282
189.428,62.131,1.08,[ABB2003] CDFN 460
189.191,62.132,1.43,[ABB2003] CDFN 237
189.267,62.132,1.25,[ABB2003] CDFN 331
189.136,62.133,2.0,[ABB2003] CDFN 171
188.984,62.134,1.15,[ABB2003] CDFN 50
189.291,62.134,2.18,[ABB2003] CDFN 360
189.233,62.136,0.79,[ABB2003] CDFN 288
189.327,62.136,0.41,[ABB2003] CDFN 395
189.355,62.141,0.12,[ABB2003] CDFN 415
189.409,62.141,0.94,[ABB2003] CDFN 450
189.155,62.142,0.97,[ABB2003] CDFN 200
189.138,62.143,0.93,[ABB2003] CDFN 174
189.194,62.143,0.97,[ABB2003] CDFN 244
189.226,62.143,0.53,[ABB2003] CDFN 281
189.291,62.143,1.22,[ABB2003] CDFN 361
189.289,62.144,0.91,[ABB2003] CDFN 358
189.291,62.145,0.9,[ABB2003] CDFN 359
189.504,62.145,0.91,[ABB2003] CDFN 482
189.033,62.147,0.41,[ABB2003] CDFN 81
189.379,62.147,0.78,[ABB2003] CDFN 429
189.354,62.149,0.94,[ABB2003] CDFN 416
188.98,62.15,1.88,[ABB2003] CDFN 44
189.05,62.15,1.14,[ABB2003] CDFN 94
189.047,62.151,1.14,[ABB2003] CDFN 90
189.617,62.151,0.96,[ABB2003] CDFN 499
189.132,62.152,0.84,[ABB2003] CDFN 169
189.125,62.157,0.95,[ABB2003] CDFN 164
189.393,62.159,0.19,[ABB2003] CDFN 436
189.174,62.162,0.84,[ABB2003] CDFN 219
189.2,62.162,5.19,[ABB2003] CDFN 247
189.378,62.162,0.3,[ABB2003] CDFN 428
189.173,62.163,0.52,[ABB2003] CDFN 217
189.028,62.164,0.64,[ABB2003] CDFN 76
189.201,62.164,2.72,[ABB2003] CDFN 252
189.333,62.165,2.64,[ABB2003] CDFN 398
189.243,62.166,0.14,[ABB2003] CDFN 300
189.024,62.168,0.94,[ABB2003] CDFN 72
189.14,62.168,1.02,[ABB2003] CDFN 177
189.166,62.169,0.51,[ABB2003] CDFN 209
189.32,62.169,0.41,[ABB2003] CDFN 392
189.071,62.17,0.84,[ABB2003] CDFN 113
188.99,62.173,3.07,[ABB2003] CDFN 52
189.029,62.173,2.5,[ABB2003] CDFN 79
189.115,62.174,0.76,[ABB2003] CDFN 150
189.239,62.174,0.85,[ABB2003] CDFN 295
189.329,62.174,4.14,[ABB2003] CDFN 397
189.213,62.175,0.41,[ABB2003] CDFN 265
188.971,62.177,1.38,[ABB2003] CDFN 40
189.034,62.177,0.68,[ABB2003] CDFN 82
189.341,62.177,0.98,[ABB2003] CDFN 405
189.365,62.177,0.21,[ABB2003] CDFN 425
189.17,62.178,1.24,[ABB2003] CDFN 216
189.595,62.178,0.96,[ABB2003] CDFN 496
189.349,62.179,0.11,[ABB2003] CDFN 410
189.122,62.18,1.01,[ABB2003] CDFN 158
189.17,62.18,1.01,[ABB2003] CDFN 215
189.524,62.18,0.57,[ABB2003] CDFN 488
189.57,62.181,1.01,[ABB2003] CDFN 492
189.285,62.182,0.42,[ABB2003] CDFN 353
188.994,62.184,0.64,[ABB2003] CDFN 55
189.498,62.184,0.91,[ABB2003] CDFN 481
189.513,62.184,1.18,[ABB2003] CDFN 485
189.014,62.186,0.64,[ABB2003] CDFN 67
189.089,62.186,1.01,[ABB2003] CDFN 127
189.147,62.186,0.41,[ABB2003] CDFN 189
189.18,62.186,3.23,[ABB2003] CDFN 225
189.102,62.187,0.75,[ABB2003] CDFN 142
189.078,62.188,1.02,[ABB2003] CDFN 116
189.224,62.188,0.89,[ABB2003] CDFN 279
189.259,62.19,0.14,[ABB2003] CDFN 320
189.266,62.19,0.91,[ABB2003] CDFN 327
189.174,62.192,0.09,[ABB2003] CDFN 218
189.317,62.192,1.08,[ABB2003] CDFN 387
189.339,62.192,1.6,[ABB2003] CDFN 403
189.064,62.193,1.02,[ABB2003] CDFN 106
189.138,62.193,0.08,[ABB2003] CDFN 173
189.154,62.193,0.08,[ABB2003] CDFN 197
189.185,62.193,1.01,[ABB2003] CDFN 230
189.05,62.194,0.28,[ABB2003] CDFN 93
189.223,62.194,1.27,[ABB2003] CDFN 277
189.393,62.194,0.2,[ABB2003] CDFN 435
189.46,62.195,0.19,[ABB2003] CDFN 469
189.041,62.196,0.14,[ABB2003] CDFN 87
189.186,62.196,0.56,[ABB2003] CDFN 231
189.024,62.197,1.48,[ABB2003] CDFN 74
189.147,62.198,1.22,[ABB2003] CDFN 188
189.275,62.198,0.9,[ABB2003] CDFN 337
189.153,62.199,0.56,[ABB2003] CDFN 194
189.267,62.199,3.41,[ABB2003] CDFN 330
189.316,62.2,0.1,[ABB2003] CDFN 383
189.421,62.2,1.17,[ABB2003] CDFN 455
189.671,62.2,0.96,[ABB2003] CDFN 502
189.404,62.201,0.41,[ABB2003] CDFN 446
189.088,62.202,0.78,[ABB2003] CDFN 126
189.24,62.203,0.66,[ABB2003] CDFN 296
189.3,62.203,2.91,[ABB2003] CDFN 369
189.144,62.204,0.46,[ABB2003] CDFN 180
189.316,62.204,1.02,[ABB2003] CDFN 384
188.984,62.205,0.96,[ABB2003] CDFN 48
189.209,62.205,0.9,[ABB2003] CDFN 261
