[FLY99],RAJ2000,DEJ2000,[WBD96],ABmag,z_spec,z_phot,Type
1,12 36 57.477,+62 12 10.56,3-965.111111,21.2,,0.72,1
2,12 37 00.265,+62 12 19.44,3-958.0,25.76,,0.92,3
3,12 36 59.796,+62 12 18.66,3-951.1,25.69,5.34,5.72,4
4,12 36 58.307,+62 12 14.12,3-957.0,23.29,1.02,1.04,4
5,12 37 00.697,+62 12 21.69,3-952.0,25.93,,1.32,2
6,12 36 57.447,+62 12 11.88,3-965.111112,23.28,,0.72,4
7,12 36 57.601,+62 12 12.39,3-965.112,23.16,,0.92,4
8,12 36 55.321,+62 12 05.44,3-946.0,25.77,,1.2,4
9,12 36 54.378,+62 12 02.56,3-950.1,24.65,,1.16,3
10,12 36 51.952,+62 11 55.40,3-956.111,23.71,,0.08,2
11,12 36 56.421,+62 12 09.23,3-943.0,23.27,0.321,0.12,3
12,12 36 44.739,+62 11 33.48,4-752.2,24.44,,0.88,1
13,12 36 57.167,+62 12 11.94,3-928.0,25.7,,1.64,2
14,12 36 42.280,+62 11 26.19,4-937.0,24.96,,0.64,4
15,12 36 58.703,+62 12 17.13,3-923.0,24.7,,0.4,3
16,12 36 55.518,+62 12 07.48,3-925.0,24.93,,0.92,4
17,12 36 44.376,+62 11 33.15,4-752.1,21.26,1.013,0.96,1
18,12 36 49.242,+62 11 48.49,4-284.0,22.95,0.961,1.0,2
19,12 36 58.296,+62 12 16.54,3-916.0,25.3,,2.32,4
20,12 36 53.116,+62 12 00.70,3-915.0,24.91,,1.72,4
21,12 36 48.294,+62 11 45.91,4-363.0,25.07,2.98,2.8,4
22,12 36 48.403,+62 11 46.45,4-349.0,25.31,,1.08,3
23,12 37 00.950,+62 12 25.28,3-920.1,25.8,,2.6,4
24,12 36 56.830,+62 12 12.64,3-907.0,27.46,,4.4,4
25,12 36 59.529,+62 12 21.15,3-908.2,24.51,,0.76,4
26,12 36 49.436,+62 11 50.19,4-264.2,26.89,,1.72,4
27,12 36 51.879,+62 11 58.01,3-902.2,27.87,,3.36,4
28,12 36 48.289,+62 11 47.02,4-352.0,26.93,,1.24,3
29,12 36 51.777,+62 11 57.77,3-902.1,26.29,,1.8,4
30,12 36 55.949,+62 12 10.67,3-904.0,24.61,,1.12,4
31,12 36 49.329,+62 11 50.65,4-264.1,24.43,,1.04,4
32,12 36 58.676,+62 12 19.48,3-887.0,26.93,,0.6,3
33,12 36 59.373,+62 12 21.65,3-908.1,24.04,,0.48,4
34,12 36 43.683,+62 11 33.35,4-792.0,27.26,,1.32,2
35,12 36 41.669,+62 11 27.19,4-970.0,25.7,,1.12,3
36,12 36 45.305,+62 11 38.55,4-631.0,25.45,,1.8,4
37,12 36 43.883,+62 11 34.21,4-776.0,24.79,,0.96,1
38,12 36 49.106,+62 11 50.56,4-274.0,25.39,,1.76,3
39,12 37 00.524,+62 12 25.78,3-888.1,24.4,,1.12,4
40,12 36 50.906,+62 11 56.48,4-81.0,27.03,,0.64,4
41,12 36 56.425,+62 12 13.52,3-877.0,27.46,,4.2,4
42,12 36 56.011,+62 12 12.27,3-880.0,26.98,,0.28,1
43,12 36 43.774,+62 11 34.59,4-784.0,26.5,,3.64,4
44,12 36 46.722,+62 11 43.75,4-477.0,27.81,,0.92,4
45,12 36 46.166,+62 11 42.09,4-550.0,21.26,1.012,1.04,3
46,12 36 43.406,+62 11 33.61,4-817.0,27.93,,1.36,4
47,12 36 52.911,+62 12 03.10,3-886.0,24.61,,1.24,4
48,12 37 00.086,+62 12 25.23,3-875.0,23.77,,2.04,4
49,12 36 52.641,+62 12 02.49,3-890.2,26.53,,1.8,4
50,12 36 46.860,+62 11 44.84,4-474.0,23.23,1.059,1.04,4
51,12 36 52.107,+62 12 01.16,3-869.0,26.45,,1.84,1
52,12 36 53.466,+62 12 05.40,3-866.0,27.23,,0.88,3
53,12 36 45.733,+62 11 41.72,4-560.0,27.79,,1.84,4
54,12 36 58.650,+62 12 21.71,3-863.0,23.36,0.681,0.72,4
55,12 36 41.974,+62 11 30.34,4-976.2,23.32,,0.2,4
56,12 36 56.672,+62 12 15.89,3-856.0,27.83,,1.4,4
57,12 36 51.088,+62 11 58.81,4-51.0,26.9,,3.0,4
58,12 36 54.048,+62 12 07.95,3-851.0,26.97,,0.76,2
59,12 37 00.386,+62 12 27.53,3-846.0,27.47,,1.64,4
60,12 36 59.100,+62 12 23.59,3-853.11,25.28,,3.88,4
61,12 36 55.899,+62 12 13.87,3-847.0,27.29,,1.12,4
62,12 36 58.963,+62 12 23.42,3-853.22,26.75,,0.36,3
63,12 36 49.797,+62 11 55.41,4-194.0,25.87,,2.64,4
64,12 36 48.942,+62 11 52.85,4-277.0,26.17,,4.32,4
