ra,dec,z_spec,z_flag
189.13706501353215,62.21327335776786,3.909594,"{6, 7}"
189.13101174089405,62.213989428212855,2.437277,"{6, 7}"
189.1291983907139,62.215140564454934,3.908752,"{6, 7}"
189.14637872060382,62.21550823489571,4.063076,"{4, 5, 6, 7}"
189.12382509524014,62.21549730340388,5.786884,"{6, 7}"
189.12750688375738,62.21619294721527,3.354814,{7}
189.13843062697867,62.21801838859797,2.978967,{7}
189.12177301425024,62.21968372388903,4.914,"{2, 7}"
189.16530890538837,62.22055555468206,1.013731,"{4, 5, 6, 7}"
189.1172020940793,62.221433699750825,4.161308,"{6, 7}"
189.10807529554066,62.22205034287017,3.968633,"{6, 7}"
189.11694726540446,62.22207876358307,5.182848,"{6, 7}"
189.1582453662495,62.22136013287726,9.068484,"{4, 5, 6, 7}"
189.12741112526726,62.22443424990734,3.978188,"{6, 7}"
189.11031858472745,62.22544244372944,5.351595,"{6, 7}"
189.11341360298923,62.22765640268697,4.922789,"{6, 7}"
189.1153167970779,62.23409874869081,5.179648,"{6, 7}"
189.15375902990397,62.22232321376374,2.942906,"{6, 7}"
189.09925933788136,62.23824910408436,3.475048,"{6, 7}"
189.11960463564822,62.23854979291465,5.277043,"{6, 7}"
189.18089237348963,62.23887679829965,5.545638,"{6, 7}"
189.09526435376006,62.239703472075476,3.841797,"{6, 7}"
189.10602065380908,62.240137799093375,4.17467,"{6, 7}"
189.19179253194673,62.24204531469492,4.773197,"{6, 7}"
189.1339233846043,62.24242813778653,3.663253,"{6, 7}"
189.0970107901933,62.24698088940611,4.902988,"{6, 7}"
189.0962213029358,62.248918082673775,3.26,"{2, 4}"
189.11636954392034,62.249101775923364,3.476296,"{6, 7}"
189.1168361021397,62.25074486540323,3.467254,"{6, 7}"
189.08265193081894,62.25247723160351,6.761535,"{6, 7}"
189.07140595422632,62.25326502569788,4.834639,"{6, 7}"
189.19327630338626,62.25372707084826,4.058418,"{6, 7}"
189.09179031231884,62.25374072532921,5.768527,"{6, 7}"
189.11344298847482,62.25480338430457,4.416377,"{6, 7}"
